10/4/2017,7:00 PM,Toronto Maple Leafs,Winnipeg Jets
10/4/2017,8:00 PM,St. Louis Blues,Pittsburgh Penguins
10/4/2017,10:00 PM,Calgary Flames,Edmonton Oilers
10/4/2017,10:30 PM,Philadelphia Flyers,San Jose Sharks
10/5/2017,7:00 PM,Nashville Predators,Boston Bruins
10/5/2017,7:00 PM,Montreal Canadiens,Buffalo Sabres
10/5/2017,7:00 PM,Colorado Avalanche,New York Rangers
10/5/2017,7:30 PM,Washington Capitals,Ottawa Senators
10/5/2017,7:30 PM,Minnesota Wild,Detroit Red Wings
10/5/2017,8:30 PM,Pittsburgh Penguins,Chicago Blackhawks
10/5/2017,10:00 PM,Arizona Coyotes,Anaheim Ducks
10/5/2017,10:30 PM,Philadelphia Flyers,Los Angeles Kings
10/6/2017,7:00 PM,New York Islanders,Columbus Blue Jackets
10/6/2017,7:30 PM,Florida Panthers,Tampa Bay Lightning
10/6/2017,8:30 PM,Vegas Golden Knights,Dallas Stars
10/7/2017,7:00 PM,New York Rangers,Toronto Maple Leafs
10/7/2017,7:00 PM,Detroit Red Wings,Ottawa Senators
10/7/2017,7:00 PM,Tampa Bay Lightning,Florida Panthers
10/7/2017,7:00 PM,Colorado Avalanche,New Jersey Devils
10/7/2017,7:00 PM,Buffalo Sabres,New York Islanders
10/7/2017,7:00 PM,Nashville Predators,Pittsburgh Penguins
10/7/2017,7:00 PM,Montreal Canadiens,Washington Capitals
10/7/2017,7:00 PM,Minnesota Wild,Carolina Hurricanes
10/7/2017,8:00 PM,Dallas Stars,St. Louis Blues
10/7/2017,8:30 PM,Columbus Blue Jackets,Chicago Blackhawks
10/7/2017,9:00 PM,Vegas Golden Knights,Arizona Coyotes
10/7/2017,10:00 PM,Edmonton Oilers,Vancouver Canucks
10/7/2017,10:00 PM,Philadelphia Flyers,Anaheim Ducks
10/7/2017,10:00 PM,Winnipeg Jets,Calgary Flames
10/7/2017,10:30 PM,Los Angeles Kings,San Jose Sharks
10/8/2017,7:00 PM,Montreal Canadiens,New York Rangers
10/9/2017,1:00 PM,Colorado Avalanche,Boston Bruins
10/9/2017,1:00 PM,St. Louis Blues,New York Islanders
10/9/2017,3:00 PM,New Jersey Devils,Buffalo Sabres
10/9/2017,7:00 PM,Chicago Blackhawks,Toronto Maple Leafs
10/9/2017,7:30 PM,Washington Capitals,Tampa Bay Lightning
10/9/2017,9:00 PM,Winnipeg Jets,Edmonton Oilers
10/9/2017,10:00 PM,Calgary Flames,Anaheim Ducks
10/10/2017,7:00 PM,St. Louis Blues,New York Rangers
10/10/2017,7:00 PM,Columbus Blue Jackets,Carolina Hurricanes
10/10/2017,7:30 PM,Chicago Blackhawks,Montreal Canadiens
10/10/2017,8:00 PM,Philadelphia Flyers,Nashville Predators
10/10/2017,8:30 PM,Detroit Red Wings,Dallas Stars
10/10/2017,10:00 PM,Ottawa Senators,Vancouver Canucks
10/10/2017,10:00 PM,Arizona Coyotes,Vegas Golden Knights
10/11/2017,7:30 PM,New Jersey Devils,Toronto Maple Leafs
10/11/2017,7:30 PM,Pittsburgh Penguins,Washington Capitals
10/11/2017,9:30 PM,Boston Bruins,Colorado Avalanche
10/11/2017,10:00 PM,New York Islanders,Anaheim Ducks
10/11/2017,10:30 PM,Calgary Flames,Los Angeles Kings
10/12/2017,7:30 PM,Pittsburgh Penguins,Tampa Bay Lightning
10/12/2017,7:30 PM,St. Louis Blues,Florida Panthers
10/12/2017,8:00 PM,Dallas Stars,Nashville Predators
10/12/2017,8:30 PM,Minnesota Wild,Chicago Blackhawks
10/12/2017,10:00 PM,Winnipeg Jets,Vancouver Canucks
10/12/2017,10:00 PM,Detroit Red Wings,Arizona Coyotes
10/12/2017,10:30 PM,Buffalo Sabres,San Jose Sharks
10/13/2017,7:00 PM,Washington Capitals,New Jersey Devils
